Mood_Label,energy,danceability,valence,acousticness,loudness
🌙 Chill / Acoustic,0.2451748248004203,0.4502953735460237,0.41603906453830325,0.8567895899578218,-15.5732639
💭 Emotional / Mellow,0.2548027400659379,0.674261496,0.5387340812077043,0.5491910580947423,-18.29502516
🔥 Energetic / Upbeat,0.6646557560573202,0.5911384389494765,0.6080012469518838,0.24712866722063692,-8.140915888
